ID,Contribution_ID,Module,CLDF_ID,Language_Count,Glottocode_Count,Parameter_Count,Value_Count,Form_Count,Entry_Count,Example_Count
10821732-1,10821732,Wordlist,vanuatuvoices,214,57,426,0,39002,0,0
10907516-1,10907516,Wordlist,visserkalamang,1,1,855,0,1179,0,0
10907379-1,10907379,Wordlist,lindseyende,1,1,1129,0,1129,0,0
10843349-1,10843349,Wordlist,yamfinder,38,33,382,0,12231,0,0
10794044-1,10794044,StructureDataset,elcat,3459,3353,10,65483,0,0,0
10694170-1,10694170,StructureDataset,gata,51,51,31,3162,0,0,0
10678876-1,10678876,Wordlist,iecor,160,152,170,0,25731,0,0
10555859-1,10555859,TextCorpus,tsezacp,1,1,0,0,0,2388,9898
10555488-1,10555488,Generic,rantanenurageo,0,0,0,0,0,0,0
10522847-1,10522847,StructureDataset,dplace-dataset-ea,1291,1209,94,121354,0,0,0
10495417-1,10495417,Wordlist,barlowpacific,2757,1398,212,0,36751,0,0
10201382-1,10201382,StructureDataset,dplace-dataset-ccmc,410,410,1,1007,0,0,0
10453887-1,10453887,StructureDataset,dplace,2398,1549,2369,587172,0,0,0
10450408-1,10450408,Wordlist,blumpanotacana,21,18,501,0,10226,0,0
10417784-1,10417784,Wordlist,tls,127,107,1052,0,115642,0,0
10417719-1,10417719,Wordlist,huntergatherer,324,305,744,0,64556,0,0
10404395-1,10404395,Wordlist,idssegmented,294,246,1310,0,392171,0,0
10404266-1,10404266,Wordlist,oskolskayatungusic,21,18,254,0,6095,0,0
10404244-1,10404244,Wordlist,lamanisoic,41,38,301,0,11676,0,0
10404212-1,10404212,Wordlist,othanieljen,10,10,300,0,2998,0,0
10401967-1,10401967,Generic,doreco,33,33,335,0,0,0,94672
10392172-1,10392172,Wordlist,luangthongkumkaren,11,9,341,0,3233,0,0
10245745-1,10245745,Generic,,19,19,0,0,0,0,35
10214016-1,10214016,Wordlist,oliveiraprotopanoan,20,18,470,0,7305,0,0
10212485-1,10212485,Wordlist,girardprototakanan,14,8,552,0,4819,0,0
