record_no,file,reason
1171967,network-in-hcp-paper.zip,nocldf
1173120,code-2018-02-14.zip,nocldf
1194088,clics-version-1.zip,nocldf
1243678,corpus_zav_teiFiles_1870_to_1998.zip,nocldf
1315479,code-submit-2018.zip,nocldf
1451176,lingpy/predict-khobwa-v1.0.1.zip,nocldf
1465520,lingpy/sino-tibetan-paper-v1.0.1.zip,nocldf
2543222,lingpy/sino-tibetan-paper-v1.0.2.zip,nocldf
2598440,lingpy/sino-tibetan-paper-v1.0.3.zip,nocldf
2667301,TAS-Archive.zip,nocldf
3237509,fast-cognate-detection.zip,nocldf
3242122,code.zip,nocldf
3246393,lingpy/chinese-character-formation-paper-1.0.zip,nocldf
3374010,cross-lingusitic-chance-resemblances.zip,nocldf
3533555,clics/clics3-v1.0rc1.zip,nocldf
3540750,clics/clics3-v1.0.zip,nocldf
3564484,lingpy/sign-language-evolution-paper-v1.0.1.zip,nocldf
3592064,DMGoldstein/HomerObliqueCase-1.0.0.zip,nocldf
3610089,supplementary_materials.zip,nocldf
3624336,anselm_v1.0_coraxml.zip,nocldf
3667562,autotyp-data-0.1.0.zip,nocldf
3687530,clics/clics3-v1.1.zip,nocldf
3702421,2_OeAV_Photo_Index.zip,nocldf
3703068,1_Enriched_Alpenwort_Corpus.zip,nocldf
3703076,3_Mountaineering_Place_Name_Gazetteer.zip,nocldf
3703079,4_Name_register_of_alpinists.zip,nocldf
3741771,lingpy/workflow-paper-v1.0.0.zip,nocldf
3755548,lingpy/word-tree-paper-v1.0.0.zip,nocldf
3877554,ner_dataset-ocr_degradation.zip,nocldf
3888238,digling/word-formation-paper-v1.0.3.zip,nocldf
3889970,digling/word-formation-paper-v1.0.4.zip,nocldf
3899804,autotyp/autotyp-data-v0.1.1.zip,nocldf
3902005,tresoldi/distfeat-v0.1.1.zip,nocldf
3936353,supplementary_materials.zip,nocldf
3966558,DMGoldstein/NoEscapingPhylogenetics-v1.0.0.zip,nocldf
3988775,supplementary_materials.zip,nocldf
4071599,lingpy/evobib-v1.3.1.zip,nocldf
4084859,digling/cjp-data-v0.1.0.zip,nocldf
4162535,jkuokkala/ume-saami-conv-v0.1.0.zip,nocldf
4163676,ume-MalaLpW-mod.zip,nocldf
4284743,lingpy/prediction-study-v1.0.zip,nocldf
4302668,DMGoldstein/NoEscapingPhylogenetics-v1.0.1.zip,nocldf
4327575,media.zip,nocldf
4350882,media.zip,nocldf
4350924,media.zip,nocldf
4574513,autotyp-data-v0.1.2.zip,nocldf
4641277,direct-phonology/dphon-2.0.1.zip,nocldf
4740810,lingpy/evobib-v1.4.0.zip,nocldf
4743882,dv3d_v1.0.zip,nocldf
5111013,rwsproat/comparative_simulations-1.0.0.zip,nocldf
5444353,lingpy/evobib-v1.7.0.zip,nocldf
5444353,lingpy/evobib-v1.4.0.zip,nocldf
5444464,lingpy/evobib-v1.5.0.zip,nocldf
5520086,DMGoldstein/correlated-grammaticalization-v1.0.0.zip,nocldf
5716590,lingpy/language-island-paper-v4.0.0.zip,nocldf
5812242,pylogeny/tiger-v1.0.zip,nocldf
5931509,autotyp-data-v1.0.0.zip,nocldf
6255206,autotyp-data-v1.0.1.zip,nocldf
6426074,lingpy/supervised-reconstruction-paper-v1.0.zip,nocldf
6538626,ST2022-1.3.zip,nocldf
6567339,ST2022-main.zip,nocldf
6586772,sigtypst2022.zip,nocldf
6611616,lingpy/supervised-reconstruction-paper-v1.1.zip,nocldf
6726637,evaluation-paper-master.zip,nocldf
7064529,glottospace-0.0.113.zip,nocldf
7376565,lingpy/evobib-v1.6.0.zip,nocldf
7777931,pano-tacanan-history/trimming-paper-v1.0.zip,nocldf
7778453,uds-lsv/vowel-harmony-from-word-lists-v1.0.0.zip,nocldf
7780719,pano-tacanan-history/trimming-paper-v1.1.zip,nocldf
7782090,uds-lsv/vowel-harmony-from-word-lists-v1.0.1.zip,nocldf
7972274,engganolang/digitised-holle-list-1.0.0.zip,nocldf
7979976,engganolang/digitised-holle-list-1.1.0.zip,nocldf
7980852,lingpy/pacs-v1.0.zip,nocldf
8028568,engganolang/digitised-holle-list-1.2.0.zip,nocldf
8310190,direct-phonology/dphon-2.0.2.zip,nocldf
10620790,direct-phonology/dphon-2.0.3.zip,nocldf
10989955,direct-phonology/dphon-2.0.4.zip,nocldf
13363074,lingpy/evobib-v1.8.0.zip,nocldf
13363080,evobib-1.8.0.zip,nocldf
13883097,lingpy/evobib-v1.9.0.zip,nocldf
13895996,blog-pitch-1.0.zip,nocldf
14728289,digling/edictor-v3.1.zip,nocldf
15319997,lingpy/evobib-v1.10.0.zip,nocldf
17294682,arcaverborum.A.full.20251008.zip,nocldf
17294682,arcaverborum.A.corecog.20251008.zip,nocldf
17294682,arcaverborum.A.core.20251008.zip,nocldf
17294928,arcaverborum.A.core.20251008.zip,nocldf
17294928,arcaverborum.A.full.20251008.zip,nocldf
17294928,arcaverborum.A.corecog.20251008.zip,nocldf
18668178,lingpy/evobib-v1.11.0.zip,nocldf
